FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
biomedical_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_MI,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_Chi2,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_none,MinMaxScaler_L1,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_L1,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_L1,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,LogisticRegression,MinMaxScaler_ANOVA,MinMaxScaler_L1,0.7251,0.0033,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0047
biomedical_only,SVM,StandardScaler_none,StandardScaler_MI,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
biomedical_only,SVM,StandardScaler_none,StandardScaler_Chi2,0.7304,0.0034,0.7304,0.0034,0.7675±0.0058,0.7675±0.0058,Tie,0.0,0.0048
